"LabCode/Ref","Site (from main datasheet + 14c-palaeolithic)","Site_ID (from main datasheet)","Layer/Context (from main datasheet)","Additional info on layer/context not originally in the datasheet","TaxUnit (from main datasheet)","Conv_C14_date","Conv_std","AMS_C14_date","AMS_Pm/Std","OSL/TL date","Std-dev","Dated material","Dated species","Informaton on pretreatment","Source (Database/Literature)","Org. Lit. Reference (if given)","Other comments/observation",
"OxA-0535","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12210,160,,,"bone","human",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.",,
"OxA-1500","Three Holes Cave","ThreeHolesCave","stratified, lower level",,"Creswellian/Late Magdalenian",12350,160,,,,,"bone",,,"Barton and Roberts 1996","Barton and Roberts 1996",,
"OxA-3208","Three Holes Cave","ThreeHolesCave","stratified, lower level",,"Creswellian/Late Magdalenian",12260,140,,,,,"bone","Lepus",,"Barton and Roberts 1996","Barton and Roberts 1996",,
"OxA-3209","Three Holes Cave","ThreeHolesCave","stratified, lower level",,"Creswellian/Late Magdalenian",12180,130,,,,,"bone","Ursus",,"Barton and Roberts 1996","Barton and Roberts 1996",,
"OxA-3891","Three Holes Cave","ThreeHolesCave","stratified, lower level",,"Creswellian/Late Magdalenian",11980,100,,,,,"bone","Cervus",,"Barton and Roberts 1996","Barton and Roberts 1996",,
"OxA-3632","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",,,12790,100,,,"bone","Equus cavallus arcelini ",,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"OxA-4192","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",,,12860,140,,,"bone","Ovibos moschatus",,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"OxA-3632","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",,,12790,100,,,"bone","Equus cavallus arcelini ",,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"OxA-3633","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",,,12880,100,,,"bone","Equus ferus, Equus caballus arcelini",,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"OxA-4192","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",,,12860,140,,,"bone","Ovibos moschatus",,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"OxA-3632","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",,,12790,100,,,"bone","Equus cavallus arcelini ",,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"OxA-3633","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",,,12880,100,,,"bone","Equus cavallus arcelini ",,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"OxA-4192","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",,,12860,140,,,"bone","Ovibos moschatus",,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"OxA-3633","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",,,12880,100,,,"bone","Equus cavallus arcelini ",,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"Ua-11433","Urratxa III","NA","Unit II",,"Azilian",10240,100,,,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Barandarian I. 2006. Miscelanea en homenaje a Victoria Cabrera. Alcala de Henares: 534-551.",,
"Ua-11433","Urratxa III","NA","Unit II",,"Azilian",,,10240,100,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Barandarian I. 2006. Miscelanea en homenaje a Victoria Cabrera. Alcala de Henares: 534-551.",,
"Ua-11433","Urratxa III","NA","Unit II",,"Azilian",,,10240,100,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Barandarian I. 2006. Miscelanea en homenaje a Victoria Cabrera. Alcala de Henares: 534-551.",,
"Poz-3926","Wilczyce 10","Wilczyce10",,,"Late Magdalenian",,,12620,60,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Fiedorczuk J. & Schild R. 2002. Recent Studies in the Final Palaeolithic of the European plain: 91-108. Fiedorczuk J. e.a. 2007. Antiquity 81: 97-105. Irish J.D. e.a.  JHE 55 (2008) 736-740, Schild, R., 2014. Taphonomy and chronology of the settlement",,
"Poz-3927","Wilczyce 10","Wilczyce10",,,"Late Magdalenian",,,12840,70,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Fiedorczuk J. & Schild R. 2002. Recent Studies in the Final Palaeolithic of the European plain: 91-108. Fiedorczuk J. e.a. 2007. Antiquity 81: 97-105. Irish J.D. e.a.  JHE 55 (2008) 736-740, Schild, R., 2014. Taphonomy and chronology of the settlement",,
"Poz-14385","Wilczyce 10","Wilczyce10",,,"Late Magdalenian",,,12390,100,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Fiedorczuk J. & Schild R. 2002. Recent Studies in the Final Palaeolithic of the European plain: 91-108. Fiedorczuk J. e.a. 2007. Antiquity 81: 97-105. Irish J.D. e.a.  JHE 55 (2008) 736-740, Schild, R., 2014. Taphonomy and chronology of the settlement",,
"Poz-14384","Wilczyce 10","Wilczyce10",,,"Late Magdalenian",,,12480,70,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Fiedorczuk J. & Schild R. 2002. Recent Studies in the Final Palaeolithic of the European plain: 91-108. Fiedorczuk J. e.a. 2007. Antiquity 81: 97-105. Irish J.D. e.a.  JHE 55 (2008) 736-740, Schild, R., 2014. Taphonomy and chronology of the settlement",,
"Ua-20412","Wilczyce 10","Wilczyce10",,,"Late Magdalenian",,,12110,90,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Fiedorczuk J. & Schild R. 2002. Recent Studies in the Final Palaeolithic of the European plain: 91-108. Fiedorczuk J. e.a. 2007. Antiquity 81: 97-105. Irish J.D. e.a.  JHE 55 (2008) 736-740, Schild, R., 2014. Taphonomy and chronology of the settlement",,
"A/AV/B/1","Aveline's Hole",,"outer chamber', northern side, unclear",,"Creswellian/Late Magdalenian",12380,130,,,,,"bone","reindeer",,"Steevens et al. 2007","Hedges et al. 1987",,
"GX-23391","El Mirón","NA","Unit 11.1",,"Azilian",,,11720,140,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27"," Straus L.G. 2007. Radiocarbon 49: 1205-1214. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216."," spit25, square 13",
"OxA-12019","Etiolles","EtiollesQ31","Q31 locus 1",,"Upper Magdalenian",,,12315,55,,,"bone","mammoth",,"Radiocarbon Palaeolithic Europe Database v27","Caron-Laviolette E. e.a. 2018, Quaternary International 49: 12-29,",,
"KIA-49734","Friesack 27a","Friesack27a",,"(Schichtkomplexe 3-1)","Maglemose",,,9610,33,,,"bone","Capreolus",,"Groß 2014","Groß 2014",,
"GrN-6120","Kůlna Cave","Kulna3",3,,"Magdalenian, Epi-Magdalenian",10070,85,,,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312.","from K, III/C-G",
"OxA-25288","Kůlna Cave","Kulna6","layers 5 and 6",,"Young Magdalenian",,,12600,60,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312.","K20110007 from mixed layer? From C, I-III/K,L",
"OxA-25287","Kůlna Cave","Kulna6","layers 5 and 6",,"Young Magdalenian",,,11010,50,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312.","K2011006  from mixed layer? From C, I/L-M",
"GrN-6102","Kůlna Cave","Kulna4",4,,"Magdalenian, Epi-Magdalenian",11470,105,,,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162.. 311. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216.  Nerudova Z. e.a. Archäologisches korrespondenzblatt 44 ·   2014; 372","from K, III-IV/F",
"GrN-6102","Kůlna Cave","Kulna4",4,,"Magdalenian, Epi-Magdalenian",11470,105,,,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162.. 311. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216.  Nerudova Z. e.a. Archäologisches korrespondenzblatt 44 ·   2014; 372","from K, III-IV/F",
"Wk-28843","Lapa do Picareiro","NA","F/G",,"Magdalenian",27721,260,,,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Bicho N.F. 1999. Eraul 90: 55.  Benedetti MM Geoarchaeology. 2019;34:698–726.","from level FF,F7",
"Wk-41257","Lapa do Picareiro","NA","F/G",,"Magdalenian",12260,30,,,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Bicho N.F. 1999. Eraul 90: 55.  Benedetti MM Geoarchaeology. 2019;34:698–726.","from F, ZZ0",
"Wk-41257","Lapa do Picareiro","NA","F/G",,"Magdalenian",12260,30,,,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Bicho N.F. 1999. Eraul 90: 55.  Benedetti MM Geoarchaeology. 2019;34:698–726.","from F, ZZ0",
"KN-2754","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12470,95,,,,,"bone","q",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","(bulked sample)",
"KN-2754","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12470,95,,,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","(bulked sample)",
"KN-2754","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12470,95,,,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","(bulked sample)",
"Beta-156023","Santa Maira",,"Unit 5",,"Upper Magdalenian, Final Upper Magdalenian",,,11920,40,,,"bone","Capra pyreanica",,"Radiocarbon Palaeolithic Europe Database v27","Aura J.E. e.a. 2007 Saguntum 39: 175-178. Vadillo Conesa M. e.a. Zephyrus, LXXXIII, enero-junio 2019, 39-57.",,
"VRI-1327","Gamssulzenhoehle","Gamssulzen","150-160 cm",,"Late Palaeolithic",10180,160,,,,,"bone GS 535, 158 cm","Capra ibex",,"Radiocarbon Palaeolithic Europe Database v27","N/A","No Literatur?",
"KN-2220","Meiendorf D","Meiendorf",,,"classic Hamburgian",12470,250,,,,,"bone (bulked sample)",,,"Radiocarbon Palaeolithic Europe Database v27","Banadora. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf",,
"Beta-265687","Cova dels Blaus","NA","Uniy IVC-ly1-3",,"Magdalenian, Epimagdalenian",,,11090,70,,,"Bone collagen",,,"Radiocarbon Palaeolithic Europe Database v27","Yravedra Sainz de los Terrreros J. 2001. Prehistoria y Arqueologia 14: 47-78. Didac Roman Monroig 2017. Pyrenae  48: 7-44,",,
"BM-1879R","Los Azules","LosAzules3,LosAzulesUnit3","Unit 3cs",,"Azilian",10510,130,,,,,"bone collagen",,,"Radiocarbon Palaeolithic Europe Database v27","Tresguerres 1990",,
"OxA-5680 (LYON-166)","Le Closeau","LeCloseauLocus4","lower",,"Federmesser lower (Azilien)",,,12090,90,,,"bone diaphyse"," esp indeterminee",,"Radiocarbon Palaeolithic Europe Database v27","Bodu,P.,Que sont devenus les Magdaléniens du Bassin parisien? Quelques éléments de réponse sur le gisement azilien du CloseauIn : Valentin,B...p.315-339. Mevel L. 2013. BSPF 110: 657-689.",,
"OxA-6338 (LYON-313)","Le Closeau","LeCloseauLocus4","lower",,"Federmesser lower (Azilien)",,,12050,100,,,"bone diaphyse ","esp indeterminee",,"Radiocarbon Palaeolithic Europe Database v27","Bodu,P.,Que sont devenus les Magdaléniens du Bassin parisien? Quelques éléments de réponse sur le gisement azilien du CloseauIn : Valentin,B...p.315-339. Mevel L. 2013. BSPF 110: 657-689.",,
"Poz-20318","Zigeunerfels (Schicht E,Schicht D)","ZigeunerfelsDE","E, D","E","Early curved backed point",,,11860,60,,,"bone fragment",,,"Radiocarbon Palaeolithic Europe Database v27","Weber J.M. e.a. 2010 QI doi:10.1016/j.quaint.2010.12.002.",,
"Lv-1136","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",12710,150,,,,,"bone fragments",,,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"Lv-1136","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",12710,150,,,,,"bone fragments",,,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"Lv-1136","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",12710,150,,,,,"bone fragments  ",,,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"Lv-1136","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",12710,150,,,,,"bone fragments  ",,,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"Lv-1136","Trou de Chaleux","TroudeChaleux",5,,"Final Magdalenian",12710,150,,,,,"bone fragments  ",,,"Radiocarbon Palaeolithic Europe Database v27","M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","with cutmarks from cave",
"OxA-16729","Wilczyce 10","Wilczyce10",,,"Late Magdalenian",,,12870,60,,,"bone framents","human, infant",,"Radiocarbon Palaeolithic Europe Database v27","Fiedorczuk J. & Schild R. 2002. Recent Studies in the Final Palaeolithic of the European plain: 91-108. Fiedorczuk J. e.a. 2007. Antiquity 81: 97-105. Irish J.D. e.a.  JHE 55 (2008) 736-740, Schild, R., 2014. Taphonomy and chronology of the settlement",,
"Beta-213130","Fariseu","FariseuSU4,FariseuUS4","Unit 4 (upper?)",,"palaeolithic art, Final Magdalenian",,,10510,40,,,"bone from layer UE4",,,"Radiocarbon Palaeolithic Europe Database v27","Aubry T. 2008.  Antiquity, Project Gallery Vol 82 Issue 316. http://antiquity.ac.uk/ProjGall/mercier/index.html.  Aubry T. e.a. 2012. JAS 31: 528-550.  https://sites.google.com/ehu.eus/c14peninsulaiberica/dataciones-14",,
"OxA-1789","Kent's Cavern","KentsCavern","Black band and cave earth",,"Late? Upper Palaeolithic (Creswellian)",,,12320,130,,,"bone piercer",,,"Radiocarbon Palaeolithic Europe Database v27","Archaeometry 31, 2 (1989) 207 - 234"," no.1835",
"OxA-5972","Pekárna Cave","Pekarna",,,"Magdalenian, Epi-Magdalenian",,,12500,110,,,"bone point ",,,"Radiocarbon Palaeolithic Europe Database v27","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris.","from clayey horizon above loess",
"OxA-25291","Kůlna Cave","Kulna6","layers 5 and 6",,"Older Magdalenian",,,12620,60,,,"bone, humerus","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312."," K2011012 from G1, 38/L",
"OxA-25289","Kůlna Cave","Kulna6","layers 5 and 6",,"Older Magdalenian",,,12575,60,,,"bone, pelvis "," Equus sp.",,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312.","K2011010, from G1, 37-38/M",
"OxA-25290","Kůlna Cave","Kulna6","layers 5 and 6",,"Older Magdalenian",,,12555,60,,,"bone, Tibia ","Equus sp.",,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312.","K-4577/66, from G1, 36-37N K2011011",
"OxA-25288","Kůlna Cave","Kulna6","layers 5 and 6","Kulna layer 5","Older Magdalenian",,,12600,60,,,,,,"Radiocarbon Palaeolithic Europe Database v30",,,
"OxA-V-2777-55C","Kůlna Cave","Kulna6","layers 5 and 6","Kulna layer 5","Older Magdalenian",,,12810,60,,,,,,"Radiocarbon Palaeolithic Europe Database v30",,,
"OxA-V-2777-56C","Kůlna Cave","Kulna6","layers 5 and 6","Kulna layer 5","Older Magdalenian",,,11510,50,,,,,,"Radiocarbon Palaeolithic Europe Database v30",,,
"SANU-21923","Nerja","NA","Mina 16",,"Upper Magdalenian",,,12136,64,,,"burnt  kernel husk","Pine",,"Radiocarbon Palaeolithic Europe Database v27","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris. Jorda Pardo J. e. a. 2008. UNED1: 239-256. Alvarez Fernandez E. 2013. QI, ip",,
"GrN-14561","Chaves","NA","Niveles 2b y 1c",,"Magdalenian",12660,70,,,,,"burnt bone",,,"Radiocarbon Palaeolithic Europe Database v27","Villaverde P., JWP 12, 1998: 121-198, Utirilla P. e.a. QI 2012. 272-273: 88-104. Príncipe de Viana (PV), 253 (2011), 23-41  https://sites.google.com/ehu.eus/c14peninsulaiberica/dataciones-14, Utilla Miranda  2018, TRABAJOS DE PREHISTORIA 75: 248-269,",,
"GrN-15635","Chaves","NA","Niveles 2b y 1c",,"Magdalenian",12950,70,,,,,"burnt bone",,,"Radiocarbon Palaeolithic Europe Database v27","Villaverde P., JWP 12, 1998: 121-198, Utirilla P. e.a. QI 2012. 272-273: 88-104. Príncipe de Viana (PV), 253 (2011), 23-41  https://sites.google.com/ehu.eus/c14peninsulaiberica/dataciones-14, Utilla Miranda  2018, TRABAJOS DE PREHISTORIA 75: 248-269,",,
"GrN-17788","Forcas 1","Forcas,Forcaslevel14","Unit 14",,"Final Magdalenian",13010,320,,,,,"Burnt bone",,,"Radiocarbon Palaeolithic Europe Database v27","N/A","No Literatur?",
"GrA-15175","Eersel-Panberg","EerselPanberg","single find layer",,"Ahrensburgian or Early Mesolithic",,,9810,70,,,"calcinated bone",,,"Radiocarbon Palaeolithic Europe Database v27","Deeben, J. Dijkstra P & Van Gisbergen P. 2000. Notae Praehistoricae 20: 95-109.",,
"GrA-15182","Geldrop 3-2 Oost","Geldrop32Oost","single cluster",,"Late Palaeolithic (Ahrensburgian?) or Mesolithic",,,9770,60,,,"calcinated bone",,,"Radiocarbon Palaeolithic Europe Database v27","Deeben, J. Dijkstra P & Van Gisbergen P. 2000. Notae Praehistoricae 20: 95-109.",,
"GrA-20207","Westelbeers","WestelbeersZW","several concentrations (minimum one but mixed with Early Mesolithic)",,"Federmesser",,,11510,60,,,"calcined mammal bone",,,"Radiocarbon Palaeolithic Europe Database v27","Lauwerier R. e.a. 2011. AK 41: 1-20.",,
"W-264","Meiendorf D","Meiendorf",,,"classic Hamburgian",11790,200,,,,,"cervides antler collagen bulked sample","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Banadora. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf",,
"OxA-13596","Parco","ParcoII","Unit II",,"Very final Upper Magdalenian",,,13025,50,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Bronk Ramsey C. et al. 2002. Archaeometry 44: 1-149.",,
"CRG-285","Abri Vionnaz","AbriVionnaz1,AbriVionnaz2","Couche 11-9.3",,"Early Mesolithic I",8730,100,,,,,"charcoal",,,"PACEA Database",,"Not clear whether really from the early Mesolithic layers",
"CRG-286","Abri Vionnaz","AbriVionnaz1,AbriVionnaz2","Couche 11-9.3",,"Early Mesolithic I",8450,130,,,,,"charcoal",,,"PACEA Database",,"Not clear whether really from the early Mesolithic layers",
"CRG-283","Abri Vionnaz","AbriVionnaz1,AbriVionnaz2","Couche 11-9.3",,"Early Mesolithic I",8420,140,,,,,"charcoal",,,"PACEA Database",,"Not clear whether really from the early Mesolithic layers",
"GrN-18116","Abrigo del Perro","Perro2","Unit 2a",,"Azilian",10160,110,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Straus L.G. 2002. Last Glacial Human Settlement in Eastern Cantabria. JAS 29: 1403-1414.","Both layer 2a/b",
"Beta-247708","Balma de Guilanya","NA","K",,"Azilian",,,12310,40,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Garcia-Guixe E. 2009. JAS 36: 1018-1026.",,
"Beta-185066","Balma de Guilanya","NA","Unit Ej",,"Azilian",,,12180,50,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Martinez-Moreno J. e.a. TP 66: 45-60.",,
"UBAR-367","Balma de Guilanya","NA","E",,"Azilian",11460,230,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Fullola i Perricot J.  2006. ERAUL 115: 129-133. Garcia-Guixe E. 2009. JAS 36: 1018-1026.",,
"UBAR-367","Balma de Guilanya","NA","E",,"Azilian",11460,230,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Fullola i Perricot J.  2006. ERAUL 115: 129-133. Garcia-Guixe E. 2009. JAS 36: 1018-1026.",,
"Beta-247706","Balma de Guilanya","NA","E",,"Azilian",,,11110,40,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Fullola i Perricot J.  2006. ERAUL 115: 129-133. Garcia-Guixe E. 2009. JAS 36: 1018-1026.",,
"Ly-4407","Balma Margineda","NA","Units 8-10",,"Azilian",11320,120,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Martinez-Moreno J. e.a. TP 66: 45-60.",,
"Ly-5418","Balma Margineda","NA","Units 8-10",,"Azilian",11230,170,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Martinez-Moreno J. e.a. TP 66: 45-60.",,
"Ly-4896","Balma Margineda","NA","Units 8-10",,"Azilian",11690,90,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Martinez-Moreno J. e.a. TP 66: 45-60.",,
"Ly-4898","Balma Margineda","NA","Units 8-10",,"Azilian",11870,110,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Martinez-Moreno J. e.a. TP 66: 45-60.",,
"OxA-2249","Barmose","Barmosen1",1,,"Maglemose",8930,90,,,,,"charcoal","betula",,"CALPAL Database",,,
"OxA-2252","Barmose","Barmosen1",1,,"Maglemose",9130,90,,,,,"charcoal","pinus",,"CALPAL Database",,,
"OxA-2250","Barmose","Barmosen1",1,,"Maglemose",9160,90,,,,,"charcoal","populus",,"CALPAL Database",,,
"OxA-2251","Barmose","Barmosen1",1,,"Maglemose",9250,90,,,,,"charcoal","populus",,"CALPAL Database",,,
"OxA-2248","Barmose","Barmosen1",1,,"Maglemose",9370,90,,,,,"charcoal","populus",,"CALPAL Database",,,
"Poz-49027","Calowanie",,"level III cut X",,"Witowian",,,11170,60,,,"charcoal",,,"Schild","Schild",,
"Poz-4670","Calowanie",,"level III cut XIII",,"Witowian",,,11020,50,,,"charcoal",,,"Schild","Schild",,
"Poz-5093","Calowanie",,"level III cut XIII",,"Witowian",,,11280,60,,,"charcoal",,,"Schild","Schild",,
"Ly-5585","Cendres","NA","Unit IX",,"Final Magdalenian",13320,170,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Villaverde Bonilla V. e.a. 2012. QI",,
"HD-13354","Chaves","NA","Niveles 2b y 1c",,"Solutrean",12190,270,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","https://sites.google.com/ehu.eus/c14peninsulaiberica/dataciones-14",,
"GrN-12681","Chaves","NA","Niveles 2b y 1c",,"Solutrean iberique (points à cran), Upper Solutrean",19700,310,,,,,"charcoal",,,"Radiocarbon Palaeolithic Europe Database v27","Utrilla P.,"" El Final del paleolitica Cantribicio. Santander 1995. P. Utrilla ""Aragoie/Litoral In: P. Utriua Arapois-litoral… https://sites.google.com/ehu.eus/c14peninsulaiberica/dataciones-14",,
